date,channel,spend,impressions,clicks,new_customers
2024-01-01,Email/Organic,9.25,4625,185,7
2024-01-01,Google Brand,39.22,812,65,2
2024-01-01,Google Shopping,96.35,2900,87,3
2024-01-01,Meta Prospecting,230.02,21250,255,12
2024-01-01,Meta Retargeting,78.55,2727,60,3
2024-01-01,Referral,6.9,680,34,2
2024-01-01,TikTok,53.3,8444,76,3
2024-01-02,Email/Organic,4.83,2400,96,4
2024-01-02,Google Brand,91.08,1887,151,4
2024-01-02,Google Shopping,164.33,4966,149,5
2024-01-02,Meta Prospecting,148.73,13750,165,8
2024-01-02,Meta Retargeting,313.9,10954,241,11
2024-01-02,Referral,17.29,1720,86,6
2024-01-02,TikTok,120.95,19111,172,6
2024-01-03,Email/Organic,8.73,4350,174,7
2024-01-03,Google Brand,45.23,937,75,2
2024-01-03,Google Shopping,122.62,3700,111,5
2024-01-03,Meta Prospecting,53.91,4916,59,3
2024-01-03,Meta Retargeting,132.02,4590,101,4
2024-01-03,Referral,16.69,1660,83,5
2024-01-03,TikTok,160.06,25333,228,8
2024-01-04,Email/Organic,13.06,6525,261,9
2024-01-04,Google Brand,134.58,2800,224,6
2024-01-04,Google Shopping,115.32,3466,104,3
2024-01-04,Meta Prospecting,200.41,18500,222,10
2024-01-04,Meta Retargeting,137.33,4772,105,5
2024-01-04,Referral,23.5,2340,117,7
2024-01-04,TikTok,114.79,18111,163,7
2024-01-05,Email/Organic,12.02,6000,240,10
2024-01-05,Google Brand,158.24,3287,263,7
2024-01-05,Google Shopping,213.31,6433,193,7
2024-01-05,Meta Prospecting,129.13,11916,143,8
2024-01-05,Meta Retargeting,46.83,1636,36,2
2024-01-05,Referral,14.68,1460,73,4
2024-01-05,TikTok,69.12,10888,98,4
2024-01-06,Email/Organic,5.64,2800,112,4
2024-01-06,Google Brand,72.45,1500,120,3
2024-01-06,Google Shopping,90.31,2733,82,3
2024-01-06,Meta Prospecting,78.2,7166,86,5
2024-01-06,Meta Retargeting,130.75,4545,100,5
2024-01-06,Referral,9.09,900,45,3
2024-01-06,TikTok,48.67,7666,69,2
2024-01-07,Email/Organic,12.48,6225,249,9
2024-01-07,Google Brand,82.4,1712,137,4
2024-01-07,Google Shopping,145.31,4400,132,4
2024-01-07,Meta Prospecting,148.16,13666,164,8
2024-01-07,Meta Retargeting,107.13,3727,82,4
