customer_id,first_order_date,acquisition_channel,acquisition_cost,region,campaign
0,2024-01-01,Email/Organic,7.81,Midwest,Organic Search
1,2024-01-01,Email/Organic,8.42,South,Newsletter
2,2024-01-01,Meta Prospecting,17.95,West,Advantage+ Shopping
3,2024-01-01,Meta Prospecting,13.81,Northeast,Lookalike 1%
4,2024-01-01,Meta Prospecting,21.26,West,Broad Interest
5,2024-01-01,TikTok,14.63,South,Trending Sounds
6,2024-01-01,Email/Organic,6.37,Northeast,Direct
7,2024-01-01,Email/Organic,9.39,Midwest,Direct
8,2024-01-01,Meta Prospecting,20.92,West,Advantage+ Shopping
9,2024-01-01,Referral,7.26,West,Influencer Code
10,2024-01-01,TikTok,19.49,South,Creator UGC
11,2024-01-01,Meta Prospecting,16.81,West,Broad Interest
12,2024-01-01,Meta Prospecting,16.18,West,Lookalike 1%
13,2024-01-01,Meta Prospecting,22.19,South,Advantage+ Shopping
14,2024-01-01,Meta Retargeting,27.85,West,30-Day Site Visitors
15,2024-01-01,Google Shopping,28.37,Northeast,Standard Shopping
16,2024-01-01,Google Brand,18.72,West,Brand — Exact
17,2024-01-01,Meta Retargeting,29.5,Northeast,Cart Abandoners
18,2024-01-01,Email/Organic,11.04,Midwest,Direct
19,2024-01-01,Meta Prospecting,21.69,West,Lookalike 1%
20,2024-01-01,Meta Retargeting,21.2,Northeast,30-Day Site Visitors
21,2024-01-01,Google Brand,20.5,Midwest,Brand — Exact
22,2024-01-01,Google Shopping,27.73,West,Standard Shopping
23,2024-01-01,TikTok,19.18,South,Creator UGC
24,2024-01-01,Meta Prospecting,21.22,Northeast,Broad Interest
25,2024-01-01,Google Shopping,40.25,South,Standard Shopping
26,2024-01-01,Email/Organic,9.72,Midwest,Newsletter
27,2024-01-01,Meta Prospecting,15.45,South,Broad Interest
28,2024-01-01,Email/Organic,8.93,South,Organic Search
29,2024-01-01,Meta Prospecting,24.2,South,Lookalike 1%
30,2024-01-01,Meta Prospecting,18.34,West,Advantage+ Shopping
31,2024-01-01,Referral,6.54,South,Friend Referral
32,2024-01-02,Google Brand,21.07,West,Brand — Phrase
33,2024-01-02,Email/Organic,9.6,South,Newsletter
34,2024-01-02,Meta Retargeting,32.54,West,30-Day Site Visitors
35,2024-01-02,Meta Prospecting,20.98,Midwest,Advantage+ Shopping
36,2024-01-02,Meta Retargeting,34.02,Midwest,30-Day Site Visitors
37,2024-01-02,Meta Prospecting,12.45,South,Advantage+ Shopping
38,2024-01-02,Referral,5.47,West,Friend Referral
39,2024-01-02,TikTok,17.51,South,Trending Sounds
40,2024-01-02,Email/Organic,5.93,Midwest,Organic Search
41,2024-01-02,TikTok,20.3,West,Creator UGC
42,2024-01-02,TikTok,15.95,Northeast,Spark Ads
43,2024-01-02,Meta Prospecting,24.14,West,Broad Interest
44,2024-01-02,Referral,5.79,Northeast,Influencer Code
45,2024-01-02,Google Shopping,28.8,Northeast,Standard Shopping
46,2024-01-02,TikTok,23.58,Northeast,Spark Ads
47,2024-01-02,Referral,5.1,South,Influencer Code
48,2024-01-02,Meta Retargeting,16.81,West,30-Day Site Visitors
49,2024-01-02,Meta Prospecting,18.73,Northeast,Lookalike 1%
50,2024-01-02,Meta Retargeting,27.49,South,30-Day Site Visitors
51,2024-01-02,Google Brand,25.78,South,Brand — Phrase
52,2024-01-02,TikTok,22.3,Northeast,Trending Sounds
53,2024-01-02,TikTok,21.31,Midwest,Trending Sounds
54,2024-01-02,Meta Prospecting,15.31,West,Lookalike 1%
55,2024-01-02,Google Shopping,32.58,Northeast,Standard Shopping
56,2024-01-02,Google Brand,23.42,West,Brand — Exact
57,2024-01-02,Meta Retargeting,21.91,West,30-Day Site Visitors
58,2024-01-02,Meta Prospecting,25.39,Midwest,Advantage+ Shopping
59,2024-01-02,Meta Retargeting,28.71,West,30-Day Site Visitors
60,2024-01-02,Referral,5.5,South,Friend Referral
61,2024-01-02,Meta Retargeting,30.5,Midwest,Cart Abandoners
62,2024-01-02,Google Shopping,37.57,Midwest,Standard Shopping
63,2024-01-02,Email/Organic,9.82,South,Newsletter
64,2024-01-02,Google Brand,20.81,West,Brand — Exact
65,2024-01-02,Referral,5.84,West,Friend Referral
66,2024-01-02,Referral,6.88,Northeast,Influencer Code
67,2024-01-02,Meta Retargeting,27.95,Midwest,30-Day Site Visitors
68,2024-01-02,Google Shopping,31.09,South,Performance Max
69,2024-01-02,Meta Retargeting,34.31,South,30-Day Site Visitors
70,2024-01-02,Meta Retargeting,29.58,West,30-Day Site Visitors
71,2024-01-02,Meta Prospecting,14.61,West,Broad Interest
72,2024-01-02,Email/Organic,6.88,Northeast,Organic Search
73,2024-01-02,Google Shopping,34.29,Northeast,Standard Shopping
74,2024-01-02,Meta Prospecting,17.12,West,Advantage+ Shopping
75,2024-01-02,Meta Retargeting,30.08,Northeast,Cart Abandoners
76,2024-01-03,Referral,5.81,South,Friend Referral
77,2024-01-03,TikTok,18.96,West,Trending Sounds
