date,channel,device,sessions,product_views,add_to_cart,checkout_started,purchased
2024-01-01,Email/Organic,Desktop,19,12,5,3,2
2024-01-01,Email/Organic,Mobile,30,20,9,6,4
2024-01-01,Email/Organic,Tablet,5,3,1,1,1
2024-01-01,Google Brand,Desktop,4,2,1,1,1
2024-01-01,Google Brand,Mobile,6,4,2,1,1
2024-01-01,Google Brand,Tablet,1,1,0,0,0
2024-01-01,Google Shopping,Desktop,10,6,2,1,1
2024-01-01,Google Shopping,Mobile,17,10,4,3,2
2024-01-01,Google Shopping,Tablet,2,1,0,0,0
2024-01-01,Meta Prospecting,Desktop,47,25,9,6,3
2024-01-01,Meta Prospecting,Mobile,151,78,29,19,8
2024-01-01,Meta Prospecting,Tablet,6,3,1,1,1
2024-01-01,Meta Retargeting,Desktop,9,5,2,1,1
2024-01-01,Meta Retargeting,Mobile,22,11,4,3,2
2024-01-01,Meta Retargeting,Tablet,1,1,0,0,0
2024-01-01,Referral,Desktop,5,3,1,1,1
2024-01-01,Referral,Mobile,9,5,2,1,1
2024-01-01,Referral,Tablet,1,0,0,0,0
2024-01-01,TikTok,Desktop,6,4,2,1,1
2024-01-01,TikTok,Mobile,22,13,6,4,2
2024-01-01,TikTok,Tablet,1,0,0,0,0
2024-01-02,Email/Organic,Desktop,16,9,2,2,2
2024-01-02,Email/Organic,Mobile,25,14,4,3,2
2024-01-02,Email/Organic,Tablet,4,2,1,0,0
2024-01-02,Google Brand,Desktop,18,9,3,2,2
2024-01-02,Google Brand,Mobile,27,12,4,3,2
2024-01-02,Google Brand,Tablet,4,2,1,0,0
2024-01-02,Google Shopping,Desktop,23,13,4,2,2
2024-01-02,Google Shopping,Mobile,41,23,7,4,2
2024-01-02,Google Shopping,Tablet,5,3,1,1,1
2024-01-02,Meta Prospecting,Desktop,28,15,6,4,2
2024-01-02,Meta Prospecting,Mobile,89,48,20,13,6
2024-01-02,Meta Prospecting,Tablet,3,2,1,0,0
2024-01-02,Meta Retargeting,Desktop,37,20,8,5,4
2024-01-02,Meta Retargeting,Mobile,92,49,19,11,6
2024-01-02,Meta Retargeting,Tablet,6,3,1,1,1
2024-01-02,Referral,Desktop,16,7,3,2,2
2024-01-02,Referral,Mobile,26,13,6,4,3
2024-01-02,Referral,Tablet,3,2,1,1,1
2024-01-02,TikTok,Desktop,17,9,4,2,1
2024-01-02,TikTok,Mobile,59,31,13,8,5
2024-01-02,TikTok,Tablet,2,1,0,0,0
2024-01-03,Email/Organic,Desktop,22,12,5,3,2
2024-01-03,Email/Organic,Mobile,35,18,8,6,4
2024-01-03,Email/Organic,Tablet,5,3,1,1,1
2024-01-03,Google Brand,Desktop,4,2,1,1,1
2024-01-03,Google Brand,Mobile,7,4,2,1,1
2024-01-03,Google Brand,Tablet,1,1,0,0,0
2024-01-03,Google Shopping,Desktop,17,8,3,2,2
2024-01-03,Google Shopping,Mobile,31,15,6,4,2
2024-01-03,Google Shopping,Tablet,4,2,1,1,1
2024-01-03,Meta Prospecting,Desktop,9,5,2,1,1
2024-01-03,Meta Prospecting,Mobile,29,15,8,5,2
2024-01-03,Meta Prospecting,Tablet,1,1,0,0,0
2024-01-03,Meta Retargeting,Desktop,10,5,2,1,1
2024-01-03,Meta Retargeting,Mobile,24,11,5,4,3
2024-01-03,Meta Retargeting,Tablet,2,1,0,0,0
2024-01-03,Referral,Desktop,15,8,3,2,2
2024-01-03,Referral,Mobile,24,13,5,4,3
2024-01-03,Referral,Tablet,3,2,1,0,0
2024-01-03,TikTok,Desktop,19,10,5,3,2
2024-01-03,TikTok,Mobile,65,36,16,10,6
2024-01-03,TikTok,Tablet,2,1,0,0,0
2024-01-04,Email/Organic,Desktop,28,17,7,5,4
2024-01-04,Email/Organic,Mobile,44,26,11,7,4
2024-01-04,Email/Organic,Tablet,7,4,2,1,1
2024-01-04,Google Brand,Desktop,23,10,4,2,2
2024-01-04,Google Brand,Mobile,33,15,6,4,3
2024-01-04,Google Brand,Tablet,5,2,1,1,1
2024-01-04,Google Shopping,Desktop,11,5,2,1,1
2024-01-04,Google Shopping,Mobile,19,9,4,3,2
2024-01-04,Google Shopping,Tablet,2,1,0,0,0
2024-01-04,Meta Prospecting,Desktop,42,23,8,5,3
2024-01-04,Meta Prospecting,Mobile,133,75,26,15,7
2024-01-04,Meta Prospecting,Tablet,5,3,1,0,0
2024-01-04,Meta Retargeting,Desktop,12,7,3,2,2
2024-01-04,Meta Retargeting,Mobile,31,17,7,5,3
2024-01-04,Meta Retargeting,Tablet,2,1,1,0,0
2024-01-04,Referral,Desktop,22,12,5,3,3
2024-01-04,Referral,Mobile,38,21,8,5,3
2024-01-04,Referral,Tablet,5,3,1,1,1
2024-01-04,TikTok,Desktop,23,13,5,3,2
2024-01-04,TikTok,Mobile,81,47,16,10,5
2024-01-04,TikTok,Tablet,3,1,0,0,0
2024-01-05,Email/Organic,Desktop,32,19,7,5,4
2024-01-05,Email/Organic,Mobile,50,29,11,8,5
2024-01-05,Email/Organic,Tablet,7,4,2,1,1
2024-01-05,Google Brand,Desktop,20,11,5,3,3
2024-01-05,Google Brand,Mobile,28,17,7,5,3
2024-01-05,Google Brand,Tablet,5,3,1,1,1
2024-01-05,Google Shopping,Desktop,24,15,6,3,2
2024-01-05,Google Shopping,Mobile,43,26,10,6,4
2024-01-05,Google Shopping,Tablet,5,3,1,1,1
2024-01-05,Meta Prospecting,Desktop,31,16,7,4,2
2024-01-05,Meta Prospecting,Mobile,101,52,21,13,5
2024-01-05,Meta Prospecting,Tablet,4,2,1,1,1
2024-01-05,Meta Retargeting,Desktop,3,2,1,1,1
2024-01-05,Meta Retargeting,Mobile,8,5,2,1,1
2024-01-05,Meta Retargeting,Tablet,1,0,0,0,0
2024-01-05,Referral,Desktop,12,7,3,2,2
2024-01-05,Referral,Mobile,20,12,5,3,2
2024-01-05,Referral,Tablet,3,2,0,0,0
2024-01-05,TikTok,Desktop,9,5,2,2,1
2024-01-05,TikTok,Mobile,30,18,8,5,3
2024-01-05,TikTok,Tablet,1,1,0,0,0
2024-01-06,Email/Organic,Desktop,11,7,3,2,2
2024-01-06,Email/Organic,Mobile,18,11,4,3,2
2024-01-06,Email/Organic,Tablet,3,1,1,0,0
2024-01-06,Google Brand,Desktop,9,5,2,2,2
2024-01-06,Google Brand,Mobile,13,7,3,2,1
2024-01-06,Google Brand,Tablet,2,1,1,0,0
2024-01-06,Google Shopping,Desktop,9,6,2,1,1
2024-01-06,Google Shopping,Mobile,16,10,4,3,2
2024-01-06,Google Shopping,Tablet,2,1,0,0,0
2024-01-06,Meta Prospecting,Desktop,26,15,4,2,1
2024-01-06,Meta Prospecting,Mobile,83,48,12,8,4
2024-01-06,Meta Prospecting,Tablet,3,2,0,0,0
2024-01-06,Meta Retargeting,Desktop,12,8,3,2,2
2024-01-06,Meta Retargeting,Mobile,31,18,8,5,3
2024-01-06,Meta Retargeting,Tablet,2,1,1,0,0
2024-01-06,Referral,Desktop,10,5,2,2,2
2024-01-06,Referral,Mobile,17,9,4,2,1
2024-01-06,Referral,Tablet,2,1,0,0,0
2024-01-06,TikTok,Desktop,5,3,1,1,1
2024-01-06,TikTok,Mobile,17,9,4,2,1
2024-01-06,TikTok,Tablet,1,0,0,0,0
2024-01-07,Email/Organic,Desktop,28,18,7,4,3
2024-01-07,Email/Organic,Mobile,44,28,11,7,5
2024-01-07,Email/Organic,Tablet,6,4,1,1,1
2024-01-07,Google Brand,Desktop,12,6,2,2,2
2024-01-07,Google Brand,Mobile,17,9,4,3,2
2024-01-07,Google Brand,Tablet,3,1,1,0,0
2024-01-07,Google Shopping,Desktop,21,12,4,2,2
2024-01-07,Google Shopping,Mobile,38,23,7,4,2
2024-01-07,Google Shopping,Tablet,5,3,1,0,0
2024-01-07,Meta Prospecting,Desktop,21,11,5,3,2
2024-01-07,Meta Prospecting,Mobile,67,36,16,10,5
2024-01-07,Meta Prospecting,Tablet,3,1,1,1,1
2024-01-07,Meta Retargeting,Desktop,12,6,2,1,1
2024-01-07,Meta Retargeting,Mobile,30,16,6,4,3
2024-01-07,Meta Retargeting,Tablet,2,1,0,0,0
2024-01-07,Referral,Desktop,7,4,2,1,1
2024-01-07,Referral,Mobile,13,7,3,2,2
2024-01-07,Referral,Tablet,2,1,0,0,0
2024-01-07,TikTok,Desktop,18,10,4,2,1
2024-01-07,TikTok,Mobile,64,35,12,8,5
2024-01-07,TikTok,Tablet,2,1,0,0,0
2024-01-08,Email/Organic,Desktop,25,15,5,3,3
2024-01-08,Email/Organic,Mobile,40,24,9,6,4
2024-01-08,Email/Organic,Tablet,6,3,1,1,1
2024-01-08,Google Brand,Desktop,20,11,4,2,2
2024-01-08,Google Brand,Mobile,29,17,5,3,2
2024-01-08,Google Brand,Tablet,5,3,1,1,1
2024-01-08,Google Shopping,Desktop,1,1,0,0,0
2024-01-08,Google Shopping,Mobile,2,1,1,1,1
2024-01-08,Google Shopping,Tablet,0,0,0,0,0
2024-01-08,Meta Prospecting,Desktop,37,20,9,6,3
2024-01-08,Meta Prospecting,Mobile,119,63,28,19,8
2024-01-08,Meta Prospecting,Tablet,5,2,1,1,1
2024-01-08,Meta Retargeting,Desktop,22,11,5,3,2
2024-01-08,Meta Retargeting,Mobile,54,28,11,7,5
2024-01-08,Meta Retargeting,Tablet,3,2,1,1,1
2024-01-08,Referral,Desktop,3,2,1,1,1
2024-01-08,Referral,Mobile,5,3,1,1,1
2024-01-08,Referral,Tablet,1,0,0,0,0
2024-01-08,TikTok,Desktop,12,5,2,2,1
2024-01-08,TikTok,Mobile,43,19,8,5,3
2024-01-08,TikTok,Tablet,1,1,0,0,0
2024-01-09,Email/Organic,Desktop,33,18,7,4,3
2024-01-09,Email/Organic,Mobile,51,27,11,6,4
2024-01-09,Email/Organic,Tablet,8,4,1,1,1
2024-01-09,Google Brand,Desktop,5,2,1,1,1
2024-01-09,Google Brand,Mobile,7,4,2,1,1
2024-01-09,Google Brand,Tablet,1,1,0,0,0
2024-01-09,Google Shopping,Desktop,18,10,4,3,2
2024-01-09,Google Shopping,Mobile,32,19,7,5,3
2024-01-09,Google Shopping,Tablet,4,2,1,0,0
2024-01-09,Meta Prospecting,Desktop,21,13,5,3,2
2024-01-09,Meta Prospecting,Mobile,68,41,16,10,4
2024-01-09,Meta Prospecting,Tablet,3,1,1,1,0
2024-01-09,Meta Retargeting,Desktop,21,11,3,2,2
2024-01-09,Meta Retargeting,Mobile,51,26,9,6,4
2024-01-09,Meta Retargeting,Tablet,3,2,1,0,0
2024-01-09,Referral,Desktop,19,10,4,2,2
2024-01-09,Referral,Mobile,33,16,6,4,3
2024-01-09,Referral,Tablet,4,2,1,1,1
2024-01-09,TikTok,Desktop,25,13,5,3,2
2024-01-09,TikTok,Mobile,87,47,18,12,6
2024-01-09,TikTok,Tablet,3,1,1,0,0
